Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR11647685_1	4.4	18024062	6452548	18024062	2253007750	14537512	2227875904	1.1154797847455251
SRR11647685_2	4.4	18024062	6558897	18024062	2253007750	20953382	2221318805	1.4065173544121186
SRR11647687_1	4.4	21711703	7633277	21711703	2713962875	14153160	2687093915	0.9900268072016277
SRR11647687_2	4.4	21711703	7778863	21711703	2713962875	23414522	2677690260	1.3365184665615588
SRR11647689_1	4.4	20104005	7488386	20104005	2513000625	12829708	2489608744	0.9308346670228146
SRR11647689_2	4.4	20104005	6490631	20104005	2513000625	23703256	2481065921	1.2707797874105184
SRR11647695_1	4.4	19341949	6860322	19341949	2417743625	14239145	2391742115	1.0754452925090434
SRR11647695_2	4.4	19341949	6988651	19341949	2417743625	23401118	2382447974	1.4598591279503426
SRR11647697_1	4.4	16196262	5669777	16196262	2024532750	15611589	1999544707	1.2342622266792178
SRR11647697_2	4.4	16196262	5766218	16196262	2024532750	20594005	1994454781	1.485674608128715
SRR11647699_1	4.4	16988717	5699354	16988717	2123589625	12712198	2101347214	1.0473968575731762
SRR11647699_2	4.4	16988717	5842776	16988717	2123589625	20081991	2093884230	1.398829352446097
