Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11647685	70.0365038168595	25750785							
SRR11647685_1			1.1154797847455251	57.4701018695798	47.0	125.0	125	9.090909090909092	18024062.0
SRR11647685_2			1.4065173544121186	54.416255704150515	47.0	125.0	125	9.090909090909092	18024062.0
SRR11647687	65.58946294562364	29727130							
SRR11647687_1			0.9900268072016277	51.14429462216998	46.0	125.0	125	9.090909090909092	21711703.0
SRR11647687_2			1.3365184665615588	48.33301100159092	46.0	125.0	125	0.0	21711703.0
SRR11647689	67.85342280305916	28945422							
SRR11647689_1			0.9308346670228146	57.22897591365306	47.0	125.0	125	9.090909090909092	20104005.0
SRR11647689_2			1.2707797874105184	53.85317894058987	47.0	125.0	125	9.090909090909092	20104005.0
SRR11647695	60.248621697562434	25138882							
SRR11647695_1			1.0754452925090434	47.25727871290276	47.0	125.0	125	0.0	19341949.0
SRR11647695_2			1.4598591279503426	44.79672595995608	47.0	125.0	125	0.0	19341949.0
SRR11647697	72.976684408002	23559055							
SRR11647697_1			1.2342622266792178	57.93086720701398	46.0	125.0	125	9.090909090909092	16196262.0
SRR11647697_2			1.485674608128715	54.34628711755476	47.0	125.0	125	9.090909090909092	16196262.0
SRR11647699	68.81050901865183	23846253							
SRR11647699_1			1.0473968575731762	47.36834774799108	45.0	125.0	125	0.0	16988717.0
SRR11647699_2			1.398829352446097	44.4680856060637	45.0	125.0	125	0.0	16988717.0
