Module	Section	Sample Name	Source
RSeQC	gene_body_coverage	SRR11647685	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
RSeQC	gene_body_coverage	SRR11647687	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
RSeQC	gene_body_coverage	SRR11647689	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
RSeQC	gene_body_coverage	SRR11647695	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
RSeQC	gene_body_coverage	SRR11647697	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
RSeQC	gene_body_coverage	SRR11647699	/home/genetics/homework_1/fasta_reads/prefix.geneBodyCoverage.txt
featureCounts	all_sections	SRR11647685	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
featureCounts	all_sections	SRR11647687	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
featureCounts	all_sections	SRR11647689	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
featureCounts	all_sections	SRR11647695	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
featureCounts	all_sections	SRR11647697	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
featureCounts	all_sections	SRR11647699	/home/genetics/homework_1/fasta_reads/count_table.txt.summary
Cutadapt	all_sections	SRR11647689_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647689_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647697_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647697_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647695_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647695_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647687_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647687_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647689_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647689_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647699_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647699_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647695_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647695_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647697_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647697_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647687_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647687_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647685_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647685_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647699_2	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647699_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR11647685_1	/home/genetics/homework_1/fasta_reads/trimming_original_val/SRR11647685_1.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR11647695_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647695_2_fastqc.zip
FastQC	all_sections	SRR11647695_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647695_1_fastqc.zip
FastQC	all_sections	SRR11647689_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647689_2_fastqc.zip
FastQC	all_sections	SRR11647697_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647697_1_fastqc.zip
FastQC	all_sections	SRR11647687_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647687_2_fastqc.zip
FastQC	all_sections	SRR11647689_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647689_1_fastqc.zip
FastQC	all_sections	SRR11647685_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647685_2_fastqc.zip
FastQC	all_sections	SRR11647687_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647687_1_fastqc.zip
FastQC	all_sections	SRR11647697_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647697_2_fastqc.zip
FastQC	all_sections	SRR11647685_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647685_1_fastqc.zip
FastQC	all_sections	SRR11647699_2	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647699_2_fastqc.zip
FastQC	all_sections	SRR11647699_1	/home/genetics/homework_1/fasta_reads/fastqc/SRR11647699_1_fastqc.zip
